investigation: investigation+N+SG
nerves: nerve+N+PL
banjo: banjo+N+SG
strings: string+N+PL
competitors: competitor+N+PL
bull: bull+N+SG
iron: iron+N+SG
tee: tee+N+SG
bunker: bunker+N+SG
green: green+N+SG
embankment: embankment+N+SG
rains: rain+N+PL
force: force+N+SG
fathers: father+N+PL
stroke: stroke+N+SG
tournament: tournament+N+SG
margin: margin+N+SG
creature: creature+N+SG
common: common+N+SG
hall: hall+N+SG
fame: fame+N+SG
amendments: amendment+N+PL
teams: team+N+PL
dates: date+N+PL
switch: switch+N+SG
collapse: collapse+N+SG
assignment: assignment+N+SG
flu: flu+N+SG
neck: neck+N+SG
lineup: lineup+N+SG
anniversary: anniversary+N+SG
groove: groove+N+SG
bats: bat+N+PL
recession: recession+N+SG
change: change+N+SG
plunkers: plunker+N+PL
triumphs: triumph+N+PL
runaway: runaway+N+SG
Speakers: speaker+N+PL
words: word+N+PL
conversation: conversation+N+SG
respect: respect+N+SG
talk: talk+N+SG
halftime: halftime+N+SG
trio: trio+N+SG
honors: honor+N+PL
editor: editor+N+SG
junior: junior+N+SG
clutch: clutch+N+SG
faults: fault+N+PL
husband: husband+N+SG
bowl: bowl+N+SG
shape: Invalid Word
inscription: Invalid Word
lettermen: lettermen+N+SG
precedent: precedent+N+SG
defeats: defeat+N+PL
tie: tie+N+SG
trips: trip+N+PL
doubleheader: doubleheader+N+SG
cows: cow+N+PL
milk: milk+N+SG
talents: talent+N+PL
careers: career+N+PL
expectations: expectation+N+PL
knock: knock+N+SG
heights: height+N+PL
rbi's: rbi'+N+PL
slugger: slugger+N+SG
terror: terror+N+SG
peaks: peak+N+PL
professionals: professional+N+PL
body: body+N+SG
homerun: homerun+N+SG
hitter: hitter+N+SG
bunter: bunter+N+SG
kid: kid+N+SG
bubble: bubble+N+SG
gum: gum+N+SG
oats: oat+N+PL
sights: sight+N+PL
pun: pun+N+SG
mantle: mantle+N+SG
brother: brother+N+SG
marriage: marriage+N+SG
winter: winter+N+SG
holiday: holiday+N+SG
occasion: occasion+N+SG
holidays: holiday+N+PL
measles: measle+N+PL
sister: sister+N+SG
baby: baby+N+SG
mother: mother+N+SG
bride: bride+N+SG
wedding: wedding+N+SG
evening: evening+N+SG
raising: raising+N+SG
publicity: publicity+N+SG
university: university+N+SG
niece: niece+N+SG
uncles: uncle+N+PL
aunts: aunt+N+PL
bridal: bridal+N+SG
buf: buf+N+SG
fet: fet+N+SG
supper: supper+N+SG
bus: bu+N+PL
tennis: tenni+N+PL
huzzahs: Invalid Word
success: success+N+SG
ears: ear+N+PL
acclaim: acclaim+N+SG
entertainment: entertainment+N+SG
embassies: embassy+N+PL
bushes: Invalid Word
talent: talent+N+SG
activities: activity+N+PL
instance: instance+N+SG
dancers: dancer+N+PL
dervishes: Invalid Word
obstacle: obstacle+N+SG
representative: representative+N+SG
visa: visa+N+SG
cotillion: cotillion+N+SG
gown: gown+N+SG
invitations: invitation+N+PL
tea: tea+N+SG
folk: folk+N+SG
festival: festival+N+SG
singers: singer+N+PL
songs: song+N+PL
setting: setting+N+SG
engagement: engagement+N+SG
girl: girl+N+SG
fiance: fiance+N+SG
farewell: farewell+N+SG
surgery: surgery+N+SG
costumes: costume+N+PL
crabapple: crabapple+N+SG
trees: tree+N+PL
streets: street+N+PL
trains: train+N+PL
rancho: rancho+N+SG
typewriter: typewriter+N+SG
fallout: fallout+N+SG
shelters: Invalid Word
beer: beer+N+SG
stein: stein+N+SG
pubs: pub+N+PL
nights: night+N+PL
ethics: ethic+N+PL
morals: moral+N+PL
Comic: comic+N+SG
scoop: Invalid Word
appearances: appearance+N+PL
sellout: sellout+N+SG
pain: pain+N+SG
injection: injection+N+SG
nerve: nerve+N+SG
studio: studio+N+SG
exec: exec+N+SG
column: column+N+SG
bachelor: bachelor+N+SG
glamor: glamor+N+SG
gals: gal+N+PL
phonies: phony+N+PL
phones: phone+N+PL
contribs: contrib+N+PL
dough: dough+N+SG
tour: tour+N+SG
movie: movie+N+SG
exhibitors: Invalid Word
screenings: Invalid Word
People: people+N+SG
Thrush: Invalid Word
biz: biz+N+SG
touches: touch+N+PL
hubby: hubby+N+SG
fur: fur+N+SG
mink: mink+N+SG
frau: frau+N+SG
goodness: goodness+N+SG
sake: sake+N+SG
Emcee: emcee+N+SG
slogan: slogan+N+SG
candy: candy+N+SG
charities: charity+N+PL
Bet: bet+N+SG
dazzler: Invalid Word
showman: Invalid Word
boss: boss+N+SG
holders: holder+N+PL
Jump: jump+N+SG
baseballight: baseballight+N+SG
uniform: uniform+N+SG
bayonet: bayonet+N+SG
clashes: Invalid Word
dept.: dept.+N+SG
megaton: megaton+N+SG
bombs: bomb+N+PL
peasants: peasant+N+PL
struggles: struggle+N+PL
yodel: yodel+N+SG
roles: role+N+PL
dynamite: dynamite+N+SG
flicker: flicker+N+SG
making: making+N+SG
dynamo: dynamo+N+SG
medics: medic+N+PL
swim: swim+N+SG
doings: doing+N+PL
lessons: lesson+N+PL
cheer: cheer+N+SG
probate: probate+N+SG
suggestions: suggestion+N+PL
deposit: deposit+N+SG
boxes: box+N+PL
Music: music+N+SG
orchestra: orchestra+N+SG
Members: member+N+PL
guests: guest+N+PL
suites: suite+N+PL
patio: patio+N+SG
birthday: birthday+N+SG
Grandparents: grandparent+N+PL
stag: stag+N+SG
Cocktails: cocktail+N+PL
dining: dining+N+SG
Guests: guest+N+PL
juniors: junior+N+PL
decorations: decoration+N+PL
smile: smile+N+SG
qualities: quality+N+PL
asset: asset+N+SG
civilian: civilian+N+SG
tasks: task+N+PL
link: link+N+SG
gulf: gulf+N+SG
alcoholics: alcoholic+N+PL
parolees: parolee+N+PL
plenty: plenty+N+SG
schedules: Invalid Word
welcome: welcome+N+SG
mat: mat+N+SG
cup: cup+N+SG
cof: cof+N+SG
tickets: ticket+N+PL
beggar: beggar+N+SG
concerts: concert+N+PL
cookies: cooky+N+PL
sweets: sweet+N+PL
sugar: sugar+N+SG
parole: parole+N+SG
vacation: vacation+N+SG
safari: safari+N+SG
sign: sign+N+SG
suitcases: suitcas+N+PL
grandma: grandma+N+SG
summertime: summertime+N+SG
onslaught: onslaught+N+SG
rush: Invalid Word
journey: journey+N+SG
miles: mile+N+PL
motels: motel+N+PL
comfort: comfort+N+SG
stations: station+N+PL
heather: heather+N+SG
wagons: wagon+N+PL
roadside: roadside+N+SG
restaurants: restaurant+N+PL
souvenir: souvenir+N+SG
stands: stand+N+PL
snake: snake+N+SG
beauty: beauty+N+SG
accommodations: accommodation+N+PL
tastes: taste+N+PL
peculiarities: peculiarity+N+PL
heat: heat+N+SG
storm: storm+N+SG
cellar: cellar+N+SG
pools: pool+N+PL
risk: risk+N+SG
brink: brink+N+SG
adults: adult+N+PL
Motorists: motorist+N+PL
tourists: tourist+N+PL
village: village+N+SG
luxury: luxury+N+SG
motel: motel+N+SG
suite: suite+N+SG
carpeting: carpeting+N+SG
furniture: furniture+N+SG
satin: satin+N+SG
brocade: brocade+N+SG
chairs: chair+N+PL
tile: tile+N+SG
bath: bath+N+SG
towels: towel+N+PL
$14: $14+N+SG
proprietor: proprietor+N+SG
$8.50: $8.50+N+SG
tab: tab+N+SG
ants: ant+N+PL
Parents: parent+N+PL
bridegroom: bridegroom+N+SG
UCLA: ucla+N+SG
Honor: honor+N+SG
attendants: attendant+N+PL
chapel: chapel+N+SG
music: music+N+SG
organdy: organdy+N+SG
bateau: bateau+N+SG
neckline: neckline+N+SG
princesse: princesse+N+SG
skirt: skirt+N+SG
lace: lace+N+SG
appliques: applique+N+PL
veil: veil+N+SG
crown: crown+N+SG
gardenias: gardenia+N+PL
stephanotis: stephanoti+N+PL
maid: maid+N+SG
bridesmaids: bridesmaid+N+PL
groomsmen: groomsmen+N+SG
newlyweds: newlywed+N+PL
jacket: jacket+N+SG
pearl: pearl+N+SG
headdress: headdress+N+SG
orchids: orchid+N+PL
studies: study+N+PL
gayety: gayety+N+SG
reputation: reputation+N+SG
fun: fun+N+SG
tradition: tradition+N+SG
food: food+N+SG
hospitality: hospitality+N+SG
prospects: prospect+N+PL
hats: hat+N+PL
excitement: Invalid Word
festivities: festivity+N+PL
jazz: Invalid Word
combo: combo+N+SG
beat: beat+N+SG
dancing: dancing+N+SG
phase: phase+N+SG
globetrotter: globetrotter+N+SG
R's: r'+N+PL
oysters: oyster+N+PL
specialties: specialty+N+PL
chef: chef+N+SG
fects: fect+N+PL
flowers: flower+N+PL
reproductions: reproduction+N+PL
grillwork: grillwork+N+SG
assist: assist+N+SG
display: display+N+SG
gala: gala+N+SG
bundle: bundle+N+SG
clothing: clothing+N+SG
household: household+N+SG
shelves: Invalid Word
convenience: convenience+N+SG
suburbs: suburb+N+PL
bundles: bundle+N+PL
dinners: dinner+N+PL
set: set+N+SG
competence: competence+N+SG
contribution: contribution+N+SG
$840,000: $840,000+N+SG
husbands: husband+N+PL
shop: Invalid Word
hostesses: hostess+N+PL
arrangements: arrangement+N+PL
duties: duty+N+PL
aides: aide+N+PL
controllers: controller+N+PL
admittance: admittance+N+SG
dessert: dessert+N+SG
bridge: bridge+N+SG
commentator: commentator+N+SG
Models: model+N+PL
Mrs: mr+N+PL
decades: decade+N+PL
temperatures: temperature+N+PL
posters: poster+N+PL
invitation: invitation+N+SG
exhibit: Invalid Word
sale: sale+N+SG
paintings: painting+N+PL
sculpture: Invalid Word
preview: preview+N+SG
sponsors: sponsor+N+PL
artists: artist+N+PL
Proceeds: proceed+N+PL
levels: level+N+PL
portrait: portrait+N+SG
door: door+N+SG
chairmen: chairmen+N+SG
fraternity: fraternity+N+SG
ballroom: ballroom+N+SG
hosts: host+N+PL
debutante: debutante+N+SG
Debutante: debutante+N+SG
hostess: hostess+N+SG
restaurant: restaurant+N+SG
honoree: honoree+N+SG
masquerade: masquerade+N+SG
ladies: lady+N+PL
array: array+N+SG
ballgowns: ballgown+N+PL
dances: dance+N+PL
queen: queen+N+SG
panels: panel+N+PL
taf: taf+N+SG
feta: feta+N+SG
frock: frock+N+SG
tiers: tier+N+PL
silk: silk+N+SG
slippers: slipper+N+PL
maids: maid+N+PL
ashes: Invalid Word
roses: ros+N+PL
slipper: slipper+N+SG
eggshell: Invalid Word
dress: dress+N+SG
decolletage: decolletage+N+SG
edging: edging+N+SG
tulle: tulle+N+SG
bodice: bodice+N+SG
threads: thread+N+PL
sequins: sequin+N+PL
beads: bead+N+PL
cuts: cut+N+PL
decline: decline+N+SG
freight: freight+N+SG
employees: employee+N+PL
supervisors: supervisor+N+PL
unions: union+N+PL
class: class+N+SG
cut: cut+N+SG
furlough: furlough+N+SG
wages: wage+N+PL
thug: thug+N+SG
cab: cab+N+SG
$18: $18+N+SG
victim: victim+N+SG
robbery: robbery+N+SG
bandit: bandit+N+SG
assailant: assailant+N+SG
store: store+N+SG
$150: $150+N+SG
register: register+N+SG
arrival: arrival+N+SG
burns: burn+N+PL
mile: mile+N+SG
remarks: remark+N+PL
discrepancies: Invalid Word
memory: memory+N+SG
machine: machine+N+SG
bodies: body+N+PL
suits: suit+N+PL
misunderstandings: misunderstanding+N+PL
boards: board+N+PL
ambulance: ambulance+N+SG
Doctors: doctor+N+PL
barber: barber+N+SG
deficiencies: deficiency+N+PL
snow: snow+N+SG
clearing: clearing+N+SG
crews: crew+N+PL
storms: storm+N+PL
improvements: improvement+N+PL
Equipment: equipment+N+SG
snowfall: snowfall+N+SG
operations: operation+N+PL
laborers: laborer+N+PL
rest: rest+N+SG
W: w+N+SG
ork: ork+N+SG
tires: tire+N+PL
chains: chain+N+PL
merchants: merchant+N+PL
observations: observation+N+PL
clearance: clearance+N+SG
supplies: supply+N+PL
plow: plow+N+SG
blades: blade+N+PL
layer: layer+N+SG
detention: detention+N+SG
victims: victim+N+PL
rifle: rifle+N+SG
detectives: detective+N+PL
juvenile: juvenile+N+SG
jurist: jurist+N+SG
brick: brick+N+SG
bay: bay+N+SG
call: call+N+SG
bedroom: bedroom+N+SG
kitchen: kitchen+N+SG
shootings: Invalid Word
brothers: brother+N+PL
judgeship: Invalid Word
resident: resident+N+SG
countian: countian+N+SG
outset: outset+N+SG
spirits: spirit+N+PL
$77,389,000: $77,389,000+N+SG
$20,447,000: $20,447,000+N+SG
$47,101,000: $47,101,000+N+SG
$9,841,000: $9,841,000+N+SG
$634,517,000: $634,517,000+N+SG
$253,355,000: $253,355,000+N+SG
$278,877,000: $278,877,000+N+SG
$102,285,000: $102,285,000+N+SG
shelter: Invalid Word
share: Invalid Word
market: market+N+SG
availability: availability+N+SG
mortgage: mortgage+N+SG
prosperity: prosperity+N+SG
consumer: consumer+N+SG
hardware: hardware+N+SG
seekers: seeker+N+PL
Convenience: convenience+N+SG
quality: quality+N+SG
components: component+N+PL
housing: housing+N+SG
structures: structure+N+PL
terrace: terrace+N+SG
entrance: entrance+N+SG
Others: other+N+PL
stairs: stair+N+PL
balconies: balcony+N+PL
masonry: masonry+N+SG
Construction: construction+N+SG
secrets: secret+N+PL
submarine: submarine+N+SG
implication: implication+N+SG
sub: sub+N+SG
soviet: soviet+N+SG
spy: spy+N+SG
ring: ring+N+SG
agents: agent+N+PL
designs: design+N+PL
killer: killer+N+SG
hunter: hunter+N+SG
subs: sub+N+PL
hull: hull+N+SG
reactor: reactor+N+SG
friend: friend+N+SG
strongrooms: strongroom+N+PL
passport: passport+N+SG
roll: roll+N+SG
camera: camera+N+SG
wrapping: wrapping+N+SG
bookseller: bookseller+N+SG
cottage: cottage+N+SG
transmitter: transmitter+N+SG
dots: dot+N+PL
marks: mark+N+PL
dot: dot+N+SG
magnification: magnification+N+SG
drawing: drawing+N+SG
page: page+N+SG
manuscript: Invalid Word
bail: bail+N+SG
maiden: maiden+N+SG
aunt: aunt+N+SG
uncle: uncle+N+SG
magistrate: magistrate+N+SG
criminal: criminal+N+SG
1950s: 1950+N+PL
1960s: 1960+N+PL
behavior: behavior+N+SG
communist: communist+N+SG
$29,000: $29,000+N+SG
currency: Invalid Word
paymaster: paymaster+N+SG
adviser: adviser+N+SG
warfare: warfare+N+SG
drawings: drawing+N+PL
ship: Invalid Word
lawyers: lawyer+N+PL
clients: client+N+PL
machinery: machinery+N+SG
design: design+N+SG
generation: generation+N+SG
officers: officer+N+PL
teardrop: teardrop+N+SG
missile: missile+N+SG
atom: atom+N+SG
reactors: reactor+N+PL
steam: steam+N+SG
turbines: turbine+N+PL
complexity: complexity+N+SG
propeller: propeller+N+SG
navy: navy+N+SG
destroyers: destroyer+N+PL
ships: Invalid Word
gear: gear+N+SG
torpedoes: torpedoe+N+PL
purse: purse+N+SG
ASDIC: asdic+N+SG
Range: range+N+SG
detail: detail+N+SG
Designs: design+N+PL
radiomen: radiomen+N+SG
signals: signal+N+PL
wavelengths: wavelength+N+PL
codes: code+N+PL
cigaret: cigaret+N+SG
lighters: lighter+N+PL
lid: lid+N+SG
indictment: indictment+N+SG
narcotics: narcotic+N+PL
rumor: rumor+N+SG
malice: malice+N+SG
enmity: enmity+N+SG
indictments: indictment+N+PL
narcotic: narcotic+N+SG
racket: racket+N+SG
addicts: addict+N+PL
peddlers: peddler+N+PL
rivalries: rivalry+N+PL
criminals: criminal+N+PL
jealousies: jealousy+N+PL
grievances: grievance+N+PL
mentions: mention+N+PL
compensations: compensation+N+PL
medal: medal+N+SG
comments: comment+N+PL
$4,700: $4,700+N+SG
heroin: heroin+N+SG
peddler: peddler+N+SG
$800: $800+N+SG
witness: witness+N+SG
agent: agent+N+SG
bondsman: bondsman+N+SG
CT: ct+N+SG
A: a+N+SG
youths: youth+N+PL
eyebrow: eyebrow+N+SG
bag: bag+N+SG
$40: $40+N+SG
$214: $214+N+SG
paycheck: paycheck+N+SG
express: express+N+SG
supervisor: supervisor+N+SG
youth: youth+N+SG
reformatory: reformatory+N+SG
murder: murder+N+SG
pardon: pardon+N+SG
slaying: slaying+N+SG
lover: lover+N+SG
relationship: Invalid Word
chase: chase+N+SG
driving: driving+N+SG
salesman: salesman+N+SG
brokerage: brokerage+N+SG
Patrolman: patrolman+N+SG
pursuit: pursuit+N+SG
bludgeon: bludgeon+N+SG
emotion: emotion+N+SG
cell: cell+N+SG
stepson: stepson+N+SG
cloud: cloud+N+SG
neighbor: neighbor+N+SG
suspicion: suspicion+N+SG
misfortune: misfortune+N+SG
grandfather: grandfather+N+SG
barn: barn+N+SG
release: release+N+SG
arson: arson+N+SG
confession: confession+N+SG
Circuit: circuit+N+SG
motion: motion+N+SG
deliberation: deliberation+N+SG
foreman: foreman+N+SG
definition: definition+N+SG
aftermath: aftermath+N+SG
homeowners: homeowner+N+PL
flat: flat+N+SG
suburb: suburb+N+SG
Funeral: funeral+N+SG
caskets: casket+N+PL
cook: cook+N+SG
stove: stove+N+SG
fumes: fume+N+PL
candle: candle+N+SG
girls: girl+N+PL
electricity: electricity+N+SG
twin: twin+N+SG
roofer: roofer+N+SG
arrears: arrear+N+PL
tragedy: tragedy+N+SG
funeral: funeral+N+SG
Neighbor: neighbor+N+SG
meals: meal+N+PL
$135: $135+N+SG
$400: $400+N+SG
subdivision: subdivision+N+SG
canvass: canvass+N+SG
$25: $25+N+SG
Principal: principal+N+SG
collection: collection+N+SG
surpluses: surplus+N+PL
Student: student+N+SG
proceeds: proceed+N+PL
faculty: faculty+N+SG
fondness: fondness+N+SG
sympathy: Invalid Word
patrol: patrol+N+SG
conviction: conviction+N+SG
motorist: motorist+N+SG
grader: grader+N+SG
crosswalk: crosswalk+N+SG
crossing: crossing+N+SG
showdown: Invalid Word
rebel: rebel+N+SG
truce: truce+N+SG
troops: troop+N+PL
moves: move+N+PL
note: note+N+SG
minister: minister+N+SG
appeal: appeal+N+SG
confirmation: confirmation+N+SG
assaults: assault+N+PL
sources: source+N+PL
claims: claim+N+PL
squads: squad+N+PL
tribunals: tribunal+N+PL
collaborators: collaborator+N+PL
broadcast: broadcast+N+SG
executions: execution+N+PL
dawn: dawn+N+SG
tribunal: tribunal+N+SG
businessman: businessman+N+SG
rebels: rebel+N+PL
commander: commander+N+SG
boatload: boatload+N+SG
rifles: rifle+N+PL
roundup: roundup+N+SG
dragnet: dragnet+N+SG
auditorium: auditorium+N+SG
jails: jail+N+PL
priests: priest+N+PL
concentration: concentration+N+SG
prisoners: prisoner+N+PL
pseudynom: pseudynom+N+SG
present: present+N+SG
roadblock: roadblock+N+SG
institutions: institution+N+PL
standards: standard+N+PL
institution: institution+N+SG
learning: learning+N+SG
grade: grade+N+SG
privileges: privilege+N+PL
provisions: provision+N+PL
obstacles: obstacle+N+PL
desegregation: desegregation+N+SG
taxation: taxation+N+SG
criteria: criteria+N+SG
endowments: endowment+N+PL
newspaper: newspaper+N+SG
commitment: commitment+N+SG
excellence: Invalid Word
influence: influence+N+SG
obligation: obligation+N+SG
creed: creed+N+SG
documents: document+N+PL
applications: application+N+PL
existence: existence+N+SG
fulfillment: fulfillment+N+SG
mission: mission+N+SG
pole: pole+N+SG
occupants: occupant+N+PL
lacerations: laceration+N+PL
bruises: bruis+N+PL
theaters: theater+N+PL
art: art+N+SG
comment: comment+N+SG
COAHR: coahr+N+SG
mail: mail+N+SG
eve: eve+N+SG
operators: operator+N+PL
likelihood: likelihood+N+SG
inability: inability+N+SG
indif: indif+N+SG
presence: presence+N+SG
picket: picket+N+SG
profits: profit+N+PL
uptown: uptown+N+SG
Survivors: survivor+N+PL
sisters: sister+N+PL
painter: painter+N+SG
daughters: daughter+N+PL
rock: rock+N+SG
Patrolmen: patrolmen+N+SG
account: account+N+SG
latch: latch+N+SG
melee: melee+N+SG
scratches: Invalid Word
uniforms: uniform+N+PL
counts: count+N+PL
assault: assault+N+SG
battery: battery+N+SG
disturbance: disturbance+N+SG
desk: desk+N+SG
guest: guest+N+SG
disability: disability+N+SG
doctors: doctor+N+PL
entries: entry+N+PL
transfers: transfer+N+PL
employments: employment+N+PL
pensions: pension+N+PL
tribute: tribute+N+SG
ant: ant+N+SG
eradication: eradication+N+SG
pest: pest+N+SG
acres: acre+N+PL
entomologist: entomologist+N+SG
planes: plane+N+PL
chemical: chemical+N+SG
heptachlor: heptachlor+N+SG
crops: crop+N+PL
wildlife: wildlife+N+SG
livestock: livestock+N+SG
menace: menace+N+SG
humans: human+N+PL
venom: venom+N+SG
survey: survey+N+SG
Students: student+N+PL
computers: computer+N+PL
cameras: camera+N+PL
engineers: engineer+N+PL
congestion: congestion+N+SG
intersection: intersection+N+SG
daylight: daylight+N+SG
junction: junction+N+SG
crashes: Invalid Word
crash: Invalid Word
Troopers: trooper+N+PL
path: path+N+SG
auto: auto+N+SG
flames: flame+N+PL
category: category+N+SG
allotment: allotment+N+SG
commissioners: commissioner+N+PL
$58,918: $58,918+N+SG
$66,000: $66,000+N+SG
$7,082: $7,082+N+SG
$17,000: $17,000+N+SG
consultant: consultant+N+SG
data: data+N+SG
processing: processing+N+SG
tape: tape+N+SG
maximum: maximum+N+SG
adapting: adapting+N+SG
employ: employ+N+SG
wheels: wheel+N+PL
conversion: conversion+N+SG
familiarity: familiarity+N+SG
moment: moment+N+SG
arguments: argument+N+PL
weaknesses: weakness+N+PL
communications: communication+N+PL
objective: objective+N+SG
robber: robber+N+SG
getaway: getaway+N+SG
branch: branch+N+SG
holdup: holdup+N+SG
robberies: robbery+N+PL
papers: paper+N+PL
collision: collision+N+SG
grandchildren: grandchildren+N+SG
Employes: employe+N+PL
NLRB: nlrb+N+SG
producer: producer+N+SG
band: band+N+SG
functions: function+N+PL
entertainers: entertainer+N+PL
profession: profession+N+SG
lodge: lodge+N+SG
Services: service+N+PL
interment: interment+N+SG
cemetery: cemetery+N+SG
competition: competition+N+SG
$2,170: $2,170+N+SG
barbecue: barbecue+N+SG
spices: spice+N+PL
stockholders: stockholder+N+PL
dividend: dividend+N+SG
investment: investment+N+SG
teenagers: teenager+N+PL
guidance: guidance+N+SG
youngsters: youngster+N+PL
stock: stock+N+SG
businesses: business+N+PL
culmination: culmination+N+SG
Participants: participant+N+PL
adult: adult+N+SG
advisors: advisor+N+PL
$250: $250+N+SG
Advisors: advisor+N+PL
FF: ff+N+SG
flower: flower+N+SG
horsemanship: Invalid Word
clown: clown+N+SG
shows: Invalid Word
Attendance: attendance+N+SG
skies: sky+N+PL
fairgoers: fairgoer+N+PL
Exhibition: Invalid Word
quartet: quartet+N+SG
baton: baton+N+SG
twirler: twirler+N+SG
Finalists: finalist+N+PL
sheep: Invalid Word
ribbons: ribbon+N+PL
hog: hog+N+SG
Swine: swine+N+SG
showmanship: Invalid Word
blues: blue+N+PL
rabbit: rabbit+N+SG
poultry: poultry+N+SG
judging: judging+N+SG
eggs: egg+N+PL
male: male+N+SG
female: female+N+SG
bird: bird+N+SG
entrant: entrant+N+SG
swine: swine+N+SG
championships: Invalid Word
economics: economic+N+PL
demonstration: demonstration+N+SG
filbert: filbert+N+SG
appeals: appeal+N+PL
assessors: assessor+N+PL
assessments: assessment+N+PL
Appeals: appeal+N+PL
assessment: assessment+N+SG
properties: property+N+PL
shoulder: Invalid Word
pains: pain+N+PL
Thieves: thieve+N+PL
$3,675: $3,675+N+SG
furs: fur+N+PL
jewels: jewel+N+PL
coins: coin+N+PL
theft: theft+N+SG
intruders: intruder+N+PL
coat: coat+N+SG
$700: $700+N+SG
lamb: lamb+N+SG
$450: $450+N+SG
wallet: wallet+N+SG
rings: ring+N+PL
watch: watch+N+SG
earrings: earring+N+PL
gold: gold+N+SG
diamond: diamond+N+SG
$900: $900+N+SG
$325: $325+N+SG
$75: $75+N+SG
$65: $65+N+SG
$125: $125+N+SG
$85: $85+N+SG
thieves: thieve+N+PL
Drawers: drawer+N+PL
cabinets: cabinet+N+PL
bedrooms: bedroom+N+PL
stoppage: stoppage+N+SG
sewage: sewage+N+SG
acid: acid+N+SG
jewelry: jewelry+N+SG
plants: plant+N+PL
tide: tide+N+SG
deed: deed+N+SG
garbage: garbage+N+SG
rubbish: Invalid Word
incinerator: incinerator+N+SG
strike: strike+N+SG
collections: collection+N+PL
ribs: rib+N+PL
chest: chest+N+SG
rear: rear+N+SG
bumper: bumper+N+SG
fender: fender+N+SG
impact: impact+N+SG
$55,000: $55,000+N+SG
damages: damage+N+PL
valuation: valuation+N+SG
$57,500: $57,500+N+SG
$52,500: $52,500+N+SG
lieutenants: lieutenant+N+PL
Persons: person+N+PL
quota: quota+N+SG
$8,250: $8,250+N+SG
Scores: Invalid Word
contributors: contributor+N+PL
pennies: penny+N+PL
nickels: nickel+N+PL
dimes: dime+N+PL
quarters: quarter+N+PL
shotgun: Invalid Word
heel: heel+N+SG
companion: companion+N+SG
check: check+N+SG
$4,177.37: $4,177.37+N+SG
$50,000: $50,000+N+SG
alterations: alteration+N+PL
beds: bed+N+PL
founder: founder+N+SG
decoration: decoration+N+SG
consul: consul+N+SG
bestowal: bestowal+N+SG
destroyer: destroyer+N+SG
escort: Invalid Word
mercy: Invalid Word
crew: crew+N+SG
trawler: trawler+N+SG
raft: raft+N+SG
liberty: liberty+N+SG
perjury: perjury+N+SG
complaint: complaint+N+SG
juror: juror+N+SG
membership: Invalid Word
farmer: farmer+N+SG
wrongdoing: wrongdoing+N+SG
incident: incident+N+SG
alternate: alternate+N+SG
incidents: incident+N+PL
connections: connection+N+PL
KKK: kkk+N+SG
imprisonment: imprisonment+N+SG
NYU: nyu+N+SG
dean: dean+N+SG
spraying: spraying+N+SG
controls: control+N+PL
borer: borer+N+SG
plague: plague+N+SG
cane: cane+N+SG
crop: crop+N+SG
conservation: conservation+N+SG
mistakes: mistake+N+PL
experiments: experiment+N+PL
farmers: farmer+N+PL
birds: bird+N+PL
enemies: enemy+N+PL
insects: insect+N+PL
rodents: rodent+N+PL
grapes: grape+N+PL
blueberries: blueberry+N+PL
restrictions: restriction+N+PL
seashore: Invalid Word
preservation: preservation+N+SG
wetlands: wetland+N+PL
pesticides: pesticide+N+PL
pollution: pollution+N+SG
ratification: ratification+N+SG
convention: convention+N+SG
sea: sea+N+SG
oil: oil+N+SG
tidelands: tideland+N+PL
sanctuary: sanctuary+N+SG
animals: animal+N+PL
cockpit: cockpit+N+SG
underbelly: underbelly+N+SG
bomber: bomber+N+SG
runway: runway+N+SG
earth: earth+N+SG
pulse: pulse+N+SG
jet: jet+N+SG
airstrip: airstrip+N+SG
engineer: engineer+N+SG
pilots: pilot+N+PL
warhead: warhead+N+SG
shipping: Invalid Word
mechanism: mechanism+N+SG
altitude: altitude+N+SG
engine: engine+N+SG
pilot: pilot+N+SG
rocket: rocket+N+SG
speck: speck+N+SG
sky: sky+N+SG
m.p.h.: m.p.h.+N+SG
valve: valve+N+SG
fuel: fuel+N+SG
flow: flow+N+SG
strip: strip+N+SG
tail: tail+N+SG
surfaces: surface+N+PL
wings: wing+N+PL
ailerons: aileron+N+PL
skid: skid+N+SG
fuselage: fuselage+N+SG
airfield: airfield+N+SG
Moments: moment+N+PL
streamer: streamer+N+SG
dust: dust+N+SG
flights: flight+N+PL
missiles: missile+N+PL
Pilots: pilot+N+PL
suicide: suicide+N+SG
dive: dive+N+SG
waterline: waterline+N+SG
gliders: glider+N+PL
theologian: theologian+N+SG
Nations: nation+N+PL
weapons: weapon+N+PL
dread: dread+N+SG
Governments: government+N+PL
stupidity: stupidity+N+SG
complacency: Invalid Word
affairs: affair+N+PL
operator: operator+N+SG
acquaintance: acquaintance+N+SG
syndicate: Invalid Word
gangland: gangland+N+SG
buddies: buddy+N+PL
mob: mob+N+SG
racketeer: racketeer+N+SG
gang: gang+N+SG
chiefs: chief+N+PL
hoodlum: hoodlum+N+SG
$39,000: $39,000+N+SG
janitor: janitor+N+SG
stevedore: stevedore+N+SG
pier: pier+N+SG
prosecutors: prosecutor+N+PL
gangsters: gangster+N+PL
scrutiny: Invalid Word
payments: payment+N+PL
janitors: janitor+N+PL
workmen: workmen+N+SG
factories: factory+N+PL
